images,captions
134,A little girl holding a dessert made of little cakes in the shape of train cars.
135,A girl is looking at a vehicle themed birthday cake.
136,A girl is holding a pastry designed to look like cars.
137,A professional tennis match and a black player returning the ball
138,A man on a court swinging at a tennis ball.
139,A man is swinging his racket on the tennis court.
140,A man playing tennis on a blue tennis court with people sitting in the bleachers.
141,A man standing on a tennis court holding a tennis racquet.
142,this is a man doing a trick on a board
143,A man is doing tricks on a skateboard ramp 
144,A man performs a jump on a skateboard in a skate park.
145,A young man performing a skate board trick at a skate park.
146,A skate boarder jumps in the air on a board.
147,A man and a woman sitting on a bench in a park.
148,An older couple sits closely on a wooden bench. 
149,A man and a woman are sitting on a bench in a park.
150,An older couple sitting on a bench with the words love story written on it.
151,A couple sitting on a bench in the park.
152,A man is eating a sandwich on a boat
153,A man sitting in a boat eating a sandwich.
154,A man sitting in a row boat on a lake eating a sandwich.
155,A man sits in a boat and eats a sandwich.
156,A man in a small boat with a tasty looking sandwich.
157,A woman is holding a small bunch of fruit.
158,A woman with a backpack holding a small bunch of bananas.
159,A woman in a forest holding small green bananas.
160,A woman surrounded by tall green plants and holding a bunch of small bananas.
161,A woman in the woods with a bunch of bananas. 
162,A handicapped man in a wheelchair is being helped to hold the bat by another man on a tee ball 
163,A man helps a disabled baseball player on the mound.
164,A man is helping an athlete on a sport field.
165,A man in a wheel chair who is holding a baseball bat.
166,A man on yellow surfboard by an oncoming wave.
167,A surfer attempting to stand up on his surfboard in the surf.
168,A person riding the waves on a surf board.
169,A man is attempting to stand on a surfboard.
170,Man on a surfboard about to get washed over by a violent wave.
171,A man sitting on steps holding a phone.
172,a person sitting on steps with a cell phone
173,A young man us sitting on the steps using his cell phone.
174,Man sitting on step and looking at cell phone.
175,A man is sitting on some steps texting on his phone
176,The girl holding the racket is looking at the tennis ball. 
177,a little girl whose tennis racket matches the color of her shirt
178,A little girl holding a tennis racket in her hand.
179,A young girl who is holding a tennis racket.
180,Blonde little girl with green shirts laying her racket. 
181,A woman standing next to the ocean flying a colorful kite.
182,A girl dressed in black flying a colorful kite near the water.
183,A girl is flying a kite near the water.
184,A woman flying a kite near a body of water.
185,A woman is flying a kite near the ocean.
186,a man playing tennis going for the return
187,a man playing a game of tennis by him self
188,a man is swinging a tennis racket at a game
189,A man on a tennis court is hitting a ball with a racquet.
190,A tennis player in a blue shirt preparing to hit a tennis ball.
191,Baseball player walking out to diamond to attempt to hit ball.
192,"a baseball player, Wright, standing, holding a bat. "
193,A baseball player in uniform holding a bat.
194,The baseball player slowly walks off the field.
195,A man wearing a baseball uniform carrying a bat walks onto the field.
196,A woman putting sticky notes on a wall near a kitchen and a computer.
197,A woman placing a lot of yellow sticky notes on the cabinet
198,a woman placing post it notes on her wall
199,A woman putting post it notes on a wall in a room.
200,A woman is hanging up post it notes in a kitchen.
201,A man in a red jacket holding a tennis racquet.
202,A man taking a swing at a  tennis ball
203,A tennis player is running with his racket
204,Man moving while holding a tennis racquet on a court
205,Man in red and black clothing swinging a tennis racket in his hand. 
206,A woman in sunglasses and hat standing by plant.
207,The woman is posing for a photograph next to the banana tree. 
208,A happy woman wearing sunglasses and a wide brimmed white hat.
209,a smiling woman standing next to some tall plants 
210,A woman wearing a white hat and sunglasses points to a banana tree.
211,A person laying on an inflatable mattress with two sleeping bags.
212,A man lying on an inflatable mattress on the floor.
213,A shirtless man is lying on a raft in a dirty room.
214,A man a sleep on a mattress inside of a sleeping bag.
215,A man sleeping in and unfurnished room on a blow up mattress with a sleeping bag.
216,A small boy laying on the ground with a large stuffed animal.
217,A small boy with a large teddy bear on his back
218,A kid and a stuffed bear on the ground.
219,a child laying on the ground with a stuffed animal
220,A child is laying on the carpet with a large stuffed bear on top
221,a person that is jumping a skateboard off some concrete
222,Man skate boarding in park in mid air
223,A man riding a skateboard while flying into the air.
224,A man that is jumping in the air with skateboard.
225,The young man is jumping down a flight of cement steps. 
226,A pretty woman sitting at a desk using a laptop computer.
227,A woman gesturing with her hands and sitting at a table with a computer. 
228,A woman is giving a presentation with a laptop.
229,A woman sits at a table with an open laptop in front of a screen.
230,A woman hosting a seminar to a class
231,A men and woman with microphones talk to two naval officers in front of a cake. 
232,A man and a woman holding microphones are talking to a man in uniform.
233,A lady in a blue dress is interviewing Military men. 
234,Sexy woman in blue dress interviewing a man in uniform.
235,A beautiful woman standing in front of  a cake.
236,A man with a hoodie and headphones on in front of a computer
237,A person sitting in front of a laptop computer wearing glasses.
238,A man with headphones sitting at a desk looking at a computer.
239,A young man in a red sweatshirt is on the computer. 
240,A man is sitting at the computer desk with a laptop on it.
241,A man walking through a lobby pushing a luggage cart.
242,The man is pushing his cart threw the hotel lobby.
243,A person near many different types of suitcases.
244,There is a man pushing a cart and many luggages around
245,Young couple sitting at bench in city park.
246,The people are sitting together on a bench. 
247,"Black and white of two women sitting on a marble looking bench, one of them looking at camera, holding and eating a watermelon wedge, with another woman from back in a chair by the bench and someone sitting in the background, with low wall and trees."
248,A man and woman are sitting together on a bench.
249,"A man and a women sitting on a bench, the man is eating a watermelon. "
250,a little girl is sucking her thumb and a few people in the background
251,A young child holding a snack in one hand and sucking their thumb
252,A child sucking their thump while holding a piece of food.
253,The little girl is sucking her thumb with food in the other hand.
254,A boy with his hand touching his nose.
255,A man and a girl are shaking hands while holding tennis rackets.
256,A man congratulates his young opponent on the tennis court
257,Two tennis players shake hands on the court.
258,A man shaking a little girls hand after their tennis match.
259,A man shaking the hand of a young girl on a tennis court
260,two people riding horses on a beach near water
261,Two young ladies are riding their horses on the beach. 
262,A woman and a girl are riding horses on a beach
263,Two females ride horses along a beach on the ocean
264,Two women riding Pinto horses on the beach.
265,A woman sitting on top of a park bench.
266,A black and white photo shows an elderly lady on a bench.
267,An old woman sitting on a park bench. 
268,a woman is sitting on a bench outside
269,"A person sits on a park bench, with a shopping bag."
270,A couple is holding a hot dog and a beer.
271,A man and a women hold up a plate with a large hot dog on it together.
272,a couple holding a plate with a hot dog and a beer
273,A man standing next to a woman holding a hot dog.
274,A man and a woman are holding a plate with a hot dog.
275,a kid does a trick on a skate board 
276,A man is riding a skateboard in the street.
277,A young male skateboarder leaps above his board in the street. 
278,This is a man about to fall on his face from failing a skateboard trick.
279,A young man doing tricks on the street with a skateboard.
280,A man swinging for a ball on a tennis serve.
281,A person leaping and reaching to return volley in tennis game.
282,A boy is swinging at a tennis ball on an outdoor court.
283,A young man jumps to hit a tennis ball.
284,A tennis player on a hard surface court swinging a tennis racket while jumping.
285,A man swinging a baseball bat on a field.
286,A catcher gets ready to catch a ball in a baseball game.
287,A player is swinging the bat at a ball in a baseball game.
288,The baseball player is swinging his bat as the player gets ready to catch.
289,a young person holding a baseball bat 
290,A boy is playing baseball in the street.
291,a boy holding up a bat on a street at night
292,A young boy holding a bat on a city street.
293,BOY HOLDING WOODEN BAT FOR A STREET GAME OF SOFTBALL
294,A man standing on top of a base wearing a catchers mitt.
295,Young baseball player prepares to make a catch while tagging the base
296,A young boy is preparing to catch a baseball.
297,The baseball player is awaiting the incoming ball.
298,A young boy catching a baseball during a baseball game.
299,A man is laying on the ground while an elephant steps over him.
300,Elephant stepping over a man laying on ground during a performance.
301,Two men doing tricks and stunts with an elephant. 
302,A man laying on a blanket on the ground with an elephant stepping over him.
303,A man laying underneath an elephant with it's leg lifted up. 
304,Man in blue and white tennis uniform playing tennis.
305,A man swinging a tennis racket on a tennis court.
306,Man in blue and white outfit holding up a tennis racket. 
307,A man plays tennis wearing a blue t-shirt and black Adidas shoes.  
308,A man with a tennis racket is playing tennis.
309,a biker sitting on his bike next to two bikes.
310,A man who is wearing a medieval helmet on a motorcycle.
311,A man wearing a knight's helmet on a motorcycle.
312,A man wearing a medieval style helmet sits atop his motorcycle.
313,The man wearing a helmet is sitting on a parked motorcycle. 
314,a kite surfer is flying in the air over some water
315,A man holds on tight as he rides across the water.
316,A person holds onto rope above water on a board.
317,A person on a surfboard high up over the water.
318,A windsurfer glides across choppy seas in the glistening sun. 
319,A man wearing glasses and a gray jacket and neck tie.
320,The man in the suit poses in front of a dining room.
321,A man is wearing glasses a suit and a tie.
322,"A man wearing a suit, tie, and glasses stands near a nice dining room."
323,A man wearing eye glasses is staring at the camera in front of a room.
324,A boy is practicing a jump on a skateboard.
325,A boy jumping with his skateboard in a driveway
326,A little boy in the air with a skateboard.
327,A person with skateboard on a city street.
328,A boy jumping while riding on a skateboard.
329,A young man is sitting in a chair playing a video game.
330,A young man dressed in black playing video games.
331,Man sitting in a chair leans forward holding a controller in his hands. 
332,A man playing with some video game during the day.
333,The boy is playing video games in his bedroom.
334,A man with a laptop on his desk is sitting in front of a computer desk.
335,A man is sitting at a desk with a desktop computer on it while he uses a laptop.  
336,He must need two computers for his job.
337,a man and his laptop at a desk in an office
338,A man in a chair holding a laptop in his lap at a desk with a standard compute on it.
339,A woman bending down to pet a baby elephant.
340,a woman in white shorts and some elephants
341,A woman in patterned shirt playing with an elephant.
342,A woman bending down and reaching out to an elephant.
343,A woman is appearing to grab an elephant's snout.
344,The cross country skier is working very hard.
345,The skier wearing a racing number is ascending a snowy slope. 
346,this is a woman riding her skis in the snow
347,A person wearing skis standing in the snow.
348,a person riding skis on a snowy surface 
349,A little girl standing in the sand with a kite.
350,A young girl flying her kite on a beach.
351,A young girl is flying a kite on the beach
352,Small little girl flying a kite on the beach. 
353,A girl flying a kite on a beach.
354,A woman lies on a bed working on her laptop.
355,A girl lies on a bed while using her laptop.
356,a person laying in a bed with a laptop
357,A person lays on a bed with a computer in front of you.
358,A young lady is laying down doodling on her iPad. 
359,A person standing in a room next to a cake.
360,A person looking down at a cake in a room.
361,A person is wearing a silly hat by a table with a cake.
362,A man with a birthday cake hat eyes a birthday cake on a table. 
363,A person with a party hat getting ready to bring a birthday cake to someone.
364,A skateboarder performs a trick on the side of the street.
365,A young man is performing a skateboard trick above a roadway guardrail.
366,A person flying through the air on top of a skateboard.
367,He is high up in the air on his skateboard.
368,the man is riding his skateboard over the railing
369,A filtered image of two people stretching with plastic discs. 
370,Two young kids playing with frisbees on the beach. 
371,Two men holding frisbees playing in the sand of a beach.
372,The boy is throwing a Frisbee on the beach.
373,Two men on a beach are balancing frisbees.
374,A roller skater is weaving through orange cones.
375,a man is rollerskating down a hill past cones
376,A person on a street rollerskating next to orange cones.
377,A young man rides a skateboard between some small orange cones.
378,A person skating down a road with orange obstacle cones placed on it.
379,A young lady sitting at a table covered in food.
380,A smiling woman overlooks a table of food items. 
381,A happy woman poses with dinner freshly served
382,A woman is sitting at a table that has dishes of food on it.
383,A woman sitting in front of a restaurant table with pizza and other dishes.
384,A woman trying to fly a kite in a lush green field.
385,A person in a park with a kite on the grass with trees.
386,A person chasing their red kite through a park.
387,A woman stands next to a kite in a sunny park.
388,A person is flying a kite low to the green ground.
389,It is obvious that this young man is fond of doughnuts.
390,a person in a kitchen holding up a box of donuts.
391,A man who needs no more donuts proudly displays a box full of them.
392,A man with black nails holding a box of doughnuts
393,The boy is holding a box of doughnuts and smiling.
394,A baby sleeping under a blanket watched over by a stuffed bunny.
395,A newborn baby is sleeping next to a stuffed bear.
396,Newborn baby sleeping under a blanket with a stuffed animal.
397,An infant laying under a blanket and a big stuffed bunny next to him.
398,An infant draped in a blanket next to a teddy bear.
399,A very young boy is trying to bat a ball being thrown to him.
400,A little boy with a red shirt on getting ready to hit a colorful ball.
401,a small child is trying to hit a ball with their bat
402,A boy in a red shirt with a helmet and yellow bat
403,A small child attempts to hit a ball with his bat.
404,The man is walking his dog on a leash while talking on his cellphone. 
405,Guy on the phone walking his dog carrying a frisbee.
406,A man walking on a cell phone while walking her little dog.
407,A man on a cell phone walking a dog with a Frisbee in its mouth.
408,A man walking with a dog that has a frisbee in his mouth. 
409,a girl in a bikini and a brown and white dog and a few other people
410,A woman with a swimsuit on sitting with a dog.
411,A woman is sitting with a dog on her lap.
412,A dog sitting next to a woman in her swimsuit.
413,"WOMAN SITTING WITH HER DOG, AND OTHER WOMEN ARE AROUND"
414,A man and a woman holding up two cellphones.
415,A male and a female are displaying two large screened Samsung phones.
416,a close up two people holding cell phones
417,Two young people are showing the screens from their phones.
418,A man and woman hold up Samsung Galaxy phones.
419,A lady sitting at a table and having some wine poured for her.
420,A woman happily waiting as a person pours her some wine in a glass.
421,A woman seated at a table being poured wine.
422,A woman watches as somebody pours wine in a glass.
423,A woman is sitting at a table with a person pouring a bottle of wine into a wine glass.
424,A person riding a snowboard on a snow covered slope.
425,A skier is moving slowly down a slop.
426,A few snow skiers coming down the slope.
427,A skier on a snowy hill practicing his stance.
428,A skier navigating down a skiing hill during the day.
429,A young girl tries to comb her own hair. 
430,A young child brushing her hair with a big pink brush.
431,A young girl is trying to brush her hair with a pink brush
432,a little girl with a bunny shirt brushing her hair with a pink brush
433,A young girl is combing her hair and looking at the camera. 
434,A person is wearing knee pads on a skate board.
435,a person riding a skate board on a skate park
436,Man on a skateboard teetering on the edge of a drop.
437,A skateboarder prepares to head down the slope of the course.
438,A man grinding the rim of a bowl.
439,A woman is swinging a wooden stick while a man watches.
440,A woman swinging a baseball bat while standing on a  grass field.
441,two people some grass trees and storage containers
442,The girl is trying her best to hit the ball.
443,A woman swings a stick as a man watches.
444,A baseball player swung and missed the baseball. 
445,A baseball playing swinging his baseball bat during a baseball game.
446,Baseball player taking a swing with catcher and umpire near.
447,A baseball game with the batter at the end of a swing.
448,A baseball player holding a bat at home base with a catcher and umpire crouching behind him.
449,A young woman clamps scissors onto her lower lip.  
450,A woman is using a pair of scissors to pull on her bottom lip.
451,"A woman in a tiled room, looking directly into the camera hold her bottom lip open with a pair of bloody scissors. "
452,A young woman with scissors against her bottom lip.
453,A woman squeezing her lip between a pair of scissors. 
454,A man that is on a ledge with a skateboard.
455,The skateboarder has managed to fly high over the sidewalk.
456,The skater performs a rail on the edge of a wall.
457,a boy is doing a trick with his skateboard
458,A young man slides on his skateboard while doing a trick.
459,An equestrian in riding clothes jumps a horse over a post
460,A woman wearing a jockey outfit riding a horse that is jumping over a fence
461,a person jumping a horse over an object
462,A horse rider is leaping over barriers on her horse.
463,A woman riding on the back of a brown horse.
464,An older man sitting at a wooden table with a plate and a drink.
465,A man is posing for the camera near the men in police gear. 
466,A man sitting at a table with a plate of food and a cup.
467,A man sitting at a dining table eating food.
468,A man sitting at a table with a plate and cup in front of him and two other guys in the background.
469,Man riding a skate board along a city street.
470,A male jogger dashing past vehicles down an urban street.
471,A man is running down a city street.
472,A man on a skateboard on a city street.
473,A picture of a man skateboarding on the street.
474,a black and white photo of a person riding a skate board
475,A young man skateboarding down a city sidewalk.
476,A man is riding a skateboard on the sidewalk.
477,Man casually skateboarding on a busy city street.
478,"This is a man skateboarding down a busy street,"
479,A man standing on one foot holding a controller.
480,One man playing Wii while two other people watch.
481,"A man plays bowling on WII, in his living room."
482,A man is playing the wii by himself.
483,A man playing a video game while two people watch.
484,A young boy plays with his video game controller.
485,A young boy is standing and aiming his video game remote.
486,Young boy dressed in red appearing to be taking his body tempreture with modern digital thermometer. 
487,A child standing and playing with a wii remote
488,A little kid is playing a video game.
489,A person hiking through a snow covered mountain on top of skis.
490,A person on skis is looking over a snowy landscape.
491,A skier on top of a snowy mountain side. 
492,A man hikes through the snowy mountains with blizzard like conditions up ahead.
493,A person on some skis in the snow.
494,A person sitting on top of a wooden bench near a subway train.
495,A person is sitting on a bench and waiting for a ride. 
496,a person is sitting on a bench and a silver train
497,Adult sitting on bench on platform with commuter train in background.
498,A person sitting on the end of a bench with a passenger train pulled up to the platform.
499,A large man is making his way down a path on a skateboard.
500,A person is wearing a helmet riding a skateboard.
501,A man on a longboard wearing a helmet and kneepads. 
502,A man riding a skateboard down a sidewalk.
503,A guy riding his skateboard on a neighborhood street.
504,A lady is doing the dishes and posing for the camera. 
505,A woman standing in a kitchen wearing blue gloves.
506,A woman in gloves stands at the kitchen sink
507,A woman in a maids uniform washing dishes
508,a woman with blue gloves is at a kitchen sink
509,A man washing an elephant with a hose
510,The man is doing something with the elephant.
511,a person washes a elephant with a water hose 
512,A man with a water hose cleans off an elephant.
513,A man is using a hose to wash down an elephant.
514,A young boy riding a skateboard across a brick street.
515,a boy is playing around on a skateboard
516,A boy is playing on a skateboard in a plaza.
517,a little boy riding a skate board on his knee
518,A kid kneeling on a skateboard on a brick road.
519,A woman is loading horses on to a trailer.
520,the woman is holding on to the horse by a leash
521,The rider is taking her horse to the barn.
522,A man walking with a tray with two beverages on it. 
523,A young man is walking with a tray of food.
524,The man carries a tray of food near a building with an airplane displayed on the building.
525,Man walking outside of a tray of food next to a food stand.
526,there is a very large plane hanging above a building
527,a person in leather clothes and helmet riding a bike 
528,A man riding on the back of a motorcycle.
529,Person dressed in black wearing a helmet on a black motorcycle.
530,A person wearing a helmet is riding a motorcycle.
531,A man in leather on top of a motorcycle.
532,A young man riding a skateboard up the side of a ramp.
533,A young man is riding a skateboard on a ramp.
534,A kid on a skate board at the top of a ramp.
535,A boy on a skateboard in the skate park 
536,a skateboarder doing tricks at a skating park 
537,A woman standing next to a man with a frisbee.
538,A woman stands in the grass as a man watches her.
539,a man and woman observe something in the distance
540,a lady and a man are sanding out in a park.
541,A man and a woman in a park start at an object in the distance. 
542,A man standing at a food cart with signs for hot dogs.
543,a person running a large hot dog stand on a city street 
544,The man is running a hot dog stand in the city.
545,a man that is at some kind of food stand
546,A white food truck parked on the side of a road.
547,A man and a woman standing at a food truck.
548,A man in a hat is ordering outside of a food truck.
549,A man buying food from a parked food truck on the street.
550,Two people standing in front of a white food truck.
551,A woman in stockings looks at herself in the mirror on the bed.
552,A young woman is lying on a bed looking in the mirror.
553,A woman laying in her bed while staring in a mirror.
554,A young lady in leotards laying on the bed looking in the mirror.
555,Girl laying across bed while staring at herself in a mirror.
556,Two people ride on a bicycle with an open umbrella.
557,Some people on a bike with a very pretty umbrella.
558,A woman riding on a bicycle on the sidewalk with an open umbrella. 
559,a woman is riding a bike with an umbrella
560,A woman riding a bike down a street with a pink umbrella.
561,The man smiles with his snowboard next to him. 
562,A person in a hat is holding a snowboard.
563,A man smiling holds up a snowboard and makes a gesture with his hand.
564,I man makes a sign with his hand while holding a ski. 
565,The man was holding his snowboard up in the house.
566,A young boy is smiling next to his cake. 
567,young kid poses by cake with character from despicable me
568,a kid smiling nest to a cake on the counter 
569,Boy in kitchen waiting for his cake to bake.
570,A young child smiling next to a cake that has a character from a children's movie on it.
571,A man sitting in a chair under an umbrella.
572,Man with cap sitting in a patio area by himself.
573,A man sits beneath an umbrella in an outdoor patio.
574,a man sitting on a patio underneath an umbrella
575,A man is sitting outside under an umbrella.
576,A baseball player is attempting to hit the ball.
577,The young baseball player wearing blue is swinging at a pitch.
578,A baseball player attempts to hit a ball with his bat.
579,The baseball player is ready to hit the ball.
580,A man leans down as he prepares to hit the baseball.
581,A skateboarder is doing a trick on pavement.
582,A man riding a skateboard while flying through the air.
583,A boy does a trick on a skateboard at a park
584,A man flips a skateboard while doing a trick.
585,Young boy performing aerial trick with skateboard near onlookers.
586,A black and white photo of a man petting a horse.
587,A black and white photo of a man close to the face of a horse.
588,A man is looking at a horse while holding its head still.
589,A man connecting with a horse in the field. 
590,This is a man looking into the eyes of a horse.
591,A young girl cutting into a large pizza.
592,A young girl at a table holding a knife and fork on a pizza that is in front of her.
593,a young person sitting at a booth with a large plate of pizza 
594,A little girl is slicing up a large pizza.
595,A small girl is preparing to eat a large pizza.
596,A man on skis jumps over the ledge
597,A man riding skis on top of a wooden structure.
598,A skier grinding a rail on a mountain.
599,A skier is jumping off of a fence.
600,There is a person on skis who is jumping.
601,A baseball player that has just hit the baseball to outfield.
602,A baseball batter recoiling after hitting a baseball.
603,A baseball player swinging a bat at home base.
604,A baseball player hits a ball while other watch.
605,a man is swinging a bat at a baseball game
606,a large elephant that has a person on top of it
607,A woman riding an elephant with long tusks
608,"A girl sitting on top of an elephant, just behind its ears."
609,A person in red shirt is sitting on an elephant.  
610,A woman on an elephant with tusks in a forest 
611,A person skiing on snow covered field in front of houses. 
612,"The snowboarder is enjoying going down the hill.
"
613,A person on a snowboard on a short ski slope ramp in front of a building.
614,A snowboarder in blue sliding down a snow bank.
615,a snowboarder in a blue jacket a small hill and buildings
616,Woman in a kitchen with cups and water pitcher.
617,a person standing in front of a wooden counter and a mini refrigerator in a kitchen.
618,Lab coated person reaching into cabinet for item.
619,A person leaning over to look into an opened refrigerator door.
620,The woman is searching for something in the fridge. 
621,A man is walking while wearing a clock
622,A young man on the sidewalk wearing an advertisement sign.
623,A man wearing a sandwich board with a clock on it walking down the street.
624,a person standing on the side of a city street with an analog clock strapped to them
625,A person standing on the sidewalk wearing a sign with a clock on.
626,A man standing on top of a snow covered ski slope.
627,a man standing on the hill with some skiis 
628,A man stands on skis in a snowy area.
629,A man who is walking in the snow on skis.
630,A man is walking and also get ting ready to  snow plow on skis
631,A person with a skateboard on a street.
632,A woman with a skate board purchased food.
633,A woman in a short red dress is holding her skateboard while getting food from a take out window.
634,A woman is standing near a snack bar with a skate board. 
635,A rather portly woman crosses a city crosswalk
636,a lady crosses a street as cars drive in the distance 
637,A woman crossing a street in a cross walk.
638,a woman wearing a blue dress is crossing a street
639,A woman is walking across the street near a traffic light.
640,A man in a costume that is wearing skis.
641,Tall bear like costume skiing down a mountain side.
642,A skier is riding down the slope of snow.
643,A person dressed as a giant dog skis downhill.
644,A man wearing a dog costume going skiing
645,A young man riding a skateboard up into the air.
646,A guy on a skate board high in the air.
647,A boy using a skateboard to do a trick.
648,A skate boarder is doing stunts on his skate board. 
649,A skateboarder is trying to do a trick. 
650,A young boy in a baseball uniform is running on a baseball field as other people stand in the background.
651,A young baseball player running with a bat.
652,Boy running with a bat in his hand and a helmet on his head.
653,A young boy running with a bath on the field.
654,a little boy running on a baseball diamond holding a bat
655,A man riding a wave on a surfboard.
656,A surfer is taking a wave near two other swimmers.
657,Man in black surf trunks riding a surfboard on a wave.
658,A man on a surfboard riding a wave.
659,a person riding a surf board jumping it in the air
660,A pretty young woman holding an umbrella while standing on top of a hill.
661,A girl standing in front of a river.
662,"Young lady holding an umbrella while standing at a pond.
"
663,an image of a girl holding an umbrella in the middle of the park
664,Woman in a blue dress holding up a clear umbrella. 
665,A little boy is holding on to a stop sign.
666,A little boy standing under a red stop sign.
667,A young boy clings to a public stop sign.
668,A KID HOLDING A SIGN BOARD IN A STREET.
669,a small kid holding on to a stop sign
